block,district
371830532032003,1
371830532032001,1
371830532021016,1
371830532021012,1
371830532021013,1
371830532032030,1
371830532032049,1
371830532032007,1
371830532032028,1
371830534281050,1
371830534281049,1
371830534281051,1
371830534281052,1
371830534281048,1
371830534281068,1
371830534281046,1
371830534281060,1
371830534281053,1
371830534281032,1
371830534281033,1
371830534281034,1
371830534281031,1
371830534281047,1
371830534281026,1
371830534281027,1
371830534281029,1
371830534281028,1
371830534281020,1
371830534281024,1
371830532092002,1
371830534281067,1
371830534281045,1
371830534281054,1
371830534281035,1
371830534281021,1
371830534281036,1
371830534281038,1
371830534281039,1
371830534281016,1
371830534281037,1
371830534281019,1
371830534281015,1
371830534281040,1
371830534281065,1
371830534281041,1
371830534281023,1
371830534281017,1
371830534281055,1
371830534281042,1
371830534281044,1
371830534281030,1
371830534281022,1
371830534281006,1
371830534281025,1
371830534281018,1
371830534281014,1
371830534281009,1
371830534281010,1
371830534281008,1
371830534281005,1
371830534281004,1
371830534281011,1
371830534281007,1
371830534281012,1
371830534281013,1
371830528091000,4
371830528091003,4
371830529022013,1
371830529022014,1
371830529021018,1
371830529021015,1
371830529021016,1
371830529021017,1
371830529022007,1
371830529021010,1
371830529021004,1
371830529021014,1
371830529021013,1
371830529021012,1
371830529021007,1
371830529021002,1
371830529021005,1
371830529021009,1
371830529021003,1
371830529021006,1
371830529021008,1
371830528131009,4
371830528131005,4
371830529022017,1
371830529022004,1
371830529023001,1
371830529023000,1
371830529022003,1
371830529061012,1
371830529023003,1
371830529061010,1
371830529023002,1
371830529032022,1
371830529032018,1
371830529032020,1
371830529032017,1
371830529032021,1
371830529022005,1
371830529022006,1
371830529022008,1
371830529022002,1
371830529022001,1
371830529022000,1
371830529021011,1
371830529032019,1
371830529032014,1
371830529032025,1
371830529022016,1
371830529022012,1
371830529022009,1
371830529022011,1
371830529022010,1
371830529022015,1
371830534081005,2
371830534081011,2
371830534081007,2
371830534081017,2
371830534081008,2
371830534081014,2
371830534081009,2
371830534241011,2
371830534093003,2
371830534093007,2
371830534093000,2
371830534081021,2
371830534093023,2
371830534241012,2
371830534081022,2
371830534241008,2
371830534241010,2
371830534241009,2
371830534241007,2
371830534241013,2
371830534241004,2
371830534251008,2
371830532041005,1
371830532041004,1
371830534321065,1
371830534321066,1
371830532041015,1
371830532041016,1
371830532041003,1
371830532032046,1
371830534321055,1
371830534321046,1
371830534321047,1
371830534321050,1
371830532032022,1
371830532032018,1
371830532032019,1
371830532031065,1
371830532032021,1
371830529052003,1
371830529052005,1
371830529052002,1
371830531101027,1
371830529063005,1
371830529063002,1
371830529063001,1
371830529063003,1
371830529061008,1
371830529063006,1
371830529063004,1
371830529063007,1
371830529061007,1
371830529061009,1
371830529061004,1
371830529061003,1
371830529061000,1
371830529061005,1
371830529061002,1
371830529061011,1
371830529061001,1
371830529061006,1
371830529032024,1
371830531101006,1
371830531101003,1
371830531101004,1
371830531102001,1
371830531101029,1
371830531101028,1
371830531101001,1
371830531101000,1
371830529051009,1
371830529051004,1
371830529051006,1
371830529052000,1
371830529052001,1
371830529052004,1
371830529051003,1
371830529051001,1
371830529051000,1
371830529051002,1
371830529062003,1
371830529062006,1
371830529062009,1
371830529062005,1
371830529062008,1
371830529062010,1
371830529062004,1
371830529062002,1
371830531091002,1
371830531091001,1
371830531091000,1
371830531103011,1
371830531103012,1
371830531103003,1
371830531103000,1
371830531103005,1
371830531103004,1
371830531103022,1
371830531103013,1
371830529051008,1
371830529051007,1
371830531103002,1
371830529052007,1
371830529052006,1
371830531102010,1
371830531102004,1
371830531102003,1
371830531101021,1
371830531102000,1
371830531102002,1
371830531101030,1
371830531101025,1
371830531101005,1
371830531101008,1
371830531113005,1
371830531113001,1
371830531101010,1
371830531101007,1
371830531101020,1
371830531102009,1
371830531113021,1
371830531102005,1
371830531102006,1
371830531102007,1
371830531113008,1
371830531113020,1
371830531111024,1
371830531111021,1
371830531111023,1
371830531111022,1
371830531113007,1
371830531113009,1
371830531113019,1
371830531101034,1
371830531113018,1
371830531113017,1
371830531101033,1
371830531101032,1
371830531101031,1
371830531101023,1
371830531101022,1
371830531113016,1
371830531113012,1
371830531101024,1
371830531101026,1
371830531113015,1
371830531113013,1
371830531113014,1
371830531113010,1
371830531113011,1
371830531113004,1
371830531113003,1
371830531113002,1
371830531153005,1
371830531151005,1
371830531151001,1
371830531151000,1
371830531151002,1
371830531092025,1
371830531092024,1
371830531113034,1
371830531113040,1
371830531113028,1
371830531113030,1
371830531111018,1
371830531111017,1
371830531111016,1
371830531111015,1
371830531111003,1
371830531113032,1
371830531111008,1
371830531111009,1
371830531111026,1
371830531111025,1
371830531111014,1
371830531111019,1
371830531111020,1
371830531111004,1
371830531111013,1
371830531111005,1
371830531111010,1
371830531111012,1
371830531111011,1
371830531111006,1
371830531111007,1
371830531102020,1
371830531102016,1
371830531102021,1
371830531102019,1
371830531102015,1
371830531113029,1
371830531102017,1
371830531102018,1
371830531113027,1
371830531113039,1
371830531113036,1
371830531113038,1
371830531113037,1
371830531102008,1
371830531113026,1
371830531102013,1
371830531102011,1
371830531102012,1
371830531102014,1
371830531113025,1
371830531113023,1
371830531113024,1
371830532111001,1
371830532111003,1
371830531092038,1
371830531092057,1
371830531092039,1
371830531092036,1
371830531091017,1
371830531091018,1
371830531091019,1
371830531091008,1
371830531091009,1
371830531103020,1
371830531103008,1
371830531103019,1
371830531103015,1
371830531092031,1
371830531103010,1
371830531103009,1
371830531092028,1
371830531092023,1
371830531102023,1
371830531091020,1
371830531091006,1
371830531091005,1
371830531103018,1
371830531103017,1
371830531103001,1
371830531103006,1
371830531103021,1
371830531103016,1
371830531103014,1
371830531103007,1
371830531092000,1
371830531113033,1
371830531113031,1
371830531092026,1
371830531102022,1
371830531092029,1
371830531092027,1
371830531092004,1
371830531092006,1
371830531093010,1
371830531093009,1
371830531093005,1
371830531093008,1
371830532112022,1
371830532112009,1
371830531093006,1
371830531093007,1
371830531093043,1
371830531093003,1
371830532112005,1
371830532112006,1
371830532112002,1
371830532112001,1
371830532112000,1
371830532112004,1
371830532112008,1
371830532111019,1
371830532111009,1
371830531093001,1
371830531093000,1
371830531093002,1
371830532112007,1
371830531092010,1
371830531092008,1
371830531092005,1
371830531092058,1
371830531092007,1
371830531092011,1
371830531092001,1
371830531113035,1
371830532111050,1
371830532112023,1
371830532112010,1
371830532021004,1
371830532022019,1
371830532022014,1
371830532021008,1
371830532021032,1
371830532022009,1
371830531051001,1
371830531051000,1
371830532022015,1
371830532022016,1
371830532022017,1
371830531052003,1
371830531052000,1
371830531052002,1
371830532022020,1
371830531052001,1
371830532112024,1
371830532112016,1
371830532112017,1
371830532112015,1
371830531093004,1
371830532112018,1
371830532112014,1
371830532112013,1
371830532022013,1
371830532022011,1
371830532022010,1
371830532022012,1
371830532112025,1
371830532112012,1
371830532112011,1
371830532112019,1
371830532112003,1
371830532112020,1
371830531052011,1
371830531052006,1
371830531093029,1
371830532051003,1
371830532051011,1
371830532051006,1
371830532051045,1
371830532051010,1
371830532052009,1
371830532051007,1
371830532051005,1
371830532051002,1
371830532051000,1
371830532051042,1
371830532051037,1
371830532051044,1
371830532051023,1
371830532051038,1
371830532051040,1
371830532051039,1
371830532051012,1
371830532051001,1
371830532022018,1
371830532052030,1
371830532052000,1
371830532052029,1
371830532052031,1
371830532052028,1
