block,district
370970612031042,1
370970612031038,1
370970612031039,1
370970612031040,1
370970612031041,1
370970612031048,1
370970612031028,1
370970612031044,1
370970612031027,1
370970612031045,1
370970613042005,1
370970612031046,1
370970613043013,1
370970613042006,1
370970613042004,1
370970613042003,1
370970612031031,1
370970612031032,1
370970612031047,1
370970612031030,1
370970612031022,1
370970612031026,1
370970612031021,1
370970613021035,1
370970613021034,1
370970613021033,1
370970613021032,1
370970613021023,1
370970613021025,1
370970613042017,1
370970613042007,1
370970613042008,1
370970613042011,1
370970613042009,1
370970613042014,1
370970613021031,1
370970613042001,1
371190059261035,5
371190059261028,5
371190059261029,5
371190059261026,5
371190059261025,5
371190059261031,5
371190059261038,5
371190059261032,5
371190059261027,5
371190059261023,5
371190059261019,5
371190059261017,5
371190059262020,5
371190059261014,5
371190059261015,5
371190059261024,5
371190059261022,5
371190059261018,5
371190059261020,5
371190059261016,5
371190059261013,5
371190059262030,5
371190059262031,5
370970612042000,1
370970612033006,1
370970612041029,1
370970612041004,1
370970612041028,1
370970612041030,1
370970612041020,1
370970612031036,1
370970612033005,1
370970612031037,1
370970612031035,1
370970612033007,1
370970612041032,1
370970612041023,1
370970612041033,1
370970612041021,1
370970612031024,1
370970612031025,1
370970612031018,1
370970612031020,1
370970612031019,1
370970612031023,1
370970612031034,1
370970612031033,1
370970612031029,1
370970612031017,1
370970612031016,1
371190062241051,2
371190062241053,2
371190062241054,2
371190062241043,2
371190062241041,2
371190062241040,2
371190062241037,2
371190062241038,2
371190062241036,2
371190062241039,2
371190062241032,2
371190062241031,2
371190062241035,2
370970612054043,1
370970612054044,1
370970612054050,1
370970612054032,1
370970612054052,1
370970612041024,1
370970612041014,1
370970612041009,1
370970612041034,1
370970612041016,1
370970612041011,1
370970612041010,1
370970612054029,1
370970612041003,1
370970612054053,1
370970612054035,1
370970612054034,1
370970612054031,1
370970612054036,1
370970612041015,1
370970612041018,1
370970612041006,1
370970612041012,1
370970612041013,1
370970612041017,1
370970612041005,1
370970614022005,1
370970614022000,1
370970614022002,1
370970614022001,1
370970614023011,1
370970614022053,1
370970614022052,1
370970614022017,1
370970614022055,1
370970614022054,1
370970614022025,1
370970614023013,1
370970614023012,1
370970612032036,1
370970612032037,1
370970614023008,1
370970614023009,1
370970612032017,1
370970612032026,1
370970612032038,1
370970612032039,1
370970612032011,1
370970612032040,1
370970612032008,1
370970612032024,1
370970612032041,1
370970612032045,1
370970612032042,1
370970612032043,1
371190059242013,5
371190059241004,5
371190059241010,5
371190059241006,5
371190059241001,5
371190059241000,5
371190059242016,5
371190059242003,5
371190059242015,5
371190059242012,5
371190059242014,5
371190059241007,5
371190059241003,5
371190059241008,5
371190059241002,5
371190059242021,5
370970612054056,1
370970612054061,1
370970614063001,1
370970614063002,1
370970614063000,1
370970614013007,1
370970614013001,1
370970614013005,1
370970614013008,1
370970614061009,1
370970614061008,1
370970614061010,1
370970614061004,1
370970614063003,1
370970614022014,1
370970614022012,1
370970614022013,1
370970607012000,1
370970607011015,1
370970607011004,1
370970613023020,1
370970613023026,1
370970613023019,1
370970613023016,1
370970613023017,1
370970613023018,1
370970613023002,1
